File_name;Strategy;Vertices;Edges;NbAchro;w/ NValue (ms);w/o NValue (ms)
graph0;DEFAULT;6;6;4;941;366
graph0;MINDOM;6;6;4;64;364
graph0;DOMOVERWDEG;6;6;4;267;164
graph0;ACTIVITY;6;6;4;343;232
graph0;INTVAR;6;6;4;113;75
graph0;MAXCONS_RAND;6;6;4;63;93
graph1;DEFAULT;6;12;4;255;244
graph1;MINDOM;6;12;4;121;123
graph1;DOMOVERWDEG;6;12;4;88;131
graph1;ACTIVITY;6;12;4;102;136
graph1;INTVAR;6;12;4;87;64
graph1;MAXCONS_RAND;6;12;4;185;185
graph2;DEFAULT;8;16;5;2490;2389
graph2;MINDOM;8;16;5;4466;3440
graph2;DOMOVERWDEG;8;16;5;3285;3614
graph2;ACTIVITY;8;16;5;2078;2342
graph2;INTVAR;8;16;5;3601;4093
graph2;MAXCONS_RAND;8;16;5;41572;36608
graph3;DEFAULT;6;9;3;12;17
graph3;MINDOM;6;9;3;5;10
graph3;DOMOVERWDEG;6;9;3;8;9
graph3;ACTIVITY;6;9;3;17;20
graph3;INTVAR;6;9;3;6;6
graph3;MAXCONS_RAND;6;9;3;8;7
graph4;DEFAULT;7;14;3;30;30
graph4;MINDOM;7;14;3;18;23
graph4;DOMOVERWDEG;7;14;3;32;39
graph4;ACTIVITY;7;14;3;39;53
graph4;INTVAR;7;14;3;16;23
graph4;MAXCONS_RAND;7;14;3;26;26
graph5;DEFAULT;8;19;4;667;686
graph5;MINDOM;8;19;4;437;396
graph5;DOMOVERWDEG;8;19;4;169;328
graph5;ACTIVITY;8;19;4;334;355
graph5;INTVAR;8;19;4;461;392
graph5;MAXCONS_RAND;8;19;4;986;734
graph6;DEFAULT;8;7;4;151;233
graph6;MINDOM;8;7;4;187;283
graph6;DOMOVERWDEG;8;7;4;123;22
graph6;ACTIVITY;8;7;4;52;98
graph6;INTVAR;8;7;4;266;259
graph6;MAXCONS_RAND;8;7;4;1721;1319
graph7;DEFAULT;10;9;4;363;41
graph7;MINDOM;10;9;4;1121;1366
graph7;DOMOVERWDEG;10;9;4;1287;51
graph7;ACTIVITY;10;9;4;55;78
graph7;INTVAR;10;9;4;1079;1266
graph7;MAXCONS_RAND;10;9;4;29683;30708
graph8;DEFAULT;8;4;3;45;50
graph8;MINDOM;8;4;3;80;135
graph8;DOMOVERWDEG;8;4;3;24;29
graph8;ACTIVITY;8;4;3;29;39
graph8;INTVAR;8;4;3;74;141
graph8;MAXCONS_RAND;8;4;3;374;359
graph9;DEFAULT;8;7;3;15;18
graph9;MINDOM;8;7;3;6;6
graph9;DOMOVERWDEG;8;7;3;10;10
graph9;ACTIVITY;8;7;3;22;26
graph9;INTVAR;8;7;3;6;6
graph9;MAXCONS_RAND;8;7;3;8;6
graph10;DEFAULT;10;9;4;703;948
graph10;MINDOM;10;9;4;2165;2845
graph10;DOMOVERWDEG;10;9;4;658;765
graph10;ACTIVITY;10;9;4;330;611
graph10;INTVAR;10;9;4;2885;3115
graph10;MAXCONS_RAND;10;9;4;33984;35864
graph11;DEFAULT;4;2;2;2;4
graph11;MINDOM;4;2;2;2;2
graph11;DOMOVERWDEG;4;2;2;2;2
graph11;ACTIVITY;4;2;2;3;3
graph11;INTVAR;4;2;2;2;2
graph11;MAXCONS_RAND;4;2;2;2;2
graph12;DEFAULT;10;6;4;2229;3460
graph12;MINDOM;10;6;4;4159;6854
graph12;DOMOVERWDEG;10;6;4;568;811
graph12;ACTIVITY;10;6;4;126;109
graph12;INTVAR;10;6;4;4215;6736
graph12;MAXCONS_RAND;10;6;4;60099;60248
graph13;DEFAULT;11;7;4;5086;2958
graph13;MINDOM;11;7;4;10122;16806
graph13;DOMOVERWDEG;11;7;4;25566;41149
graph13;ACTIVITY;11;7;4;186;282
graph13;INTVAR;11;7;4;11675;19315
graph13;MAXCONS_RAND;11;7;4;60013;60015
graph14;DEFAULT;6;3;3;6;7
graph14;MINDOM;6;3;3;9;13
graph14;DOMOVERWDEG;6;3;3;5;6
graph14;ACTIVITY;6;3;3;8;12
graph14;INTVAR;6;3;3;10;14
graph14;MAXCONS_RAND;6;3;3;26;31
graph15;DEFAULT;8;4;3;42;51
graph15;MINDOM;8;4;3;72;128
graph15;DOMOVERWDEG;8;4;3;22;33
graph15;ACTIVITY;8;4;3;31;37
graph15;INTVAR;8;4;3;70;135
graph15;MAXCONS_RAND;8;4;3;384;370
graph16;DEFAULT;10;5;3;761;721
graph16;MINDOM;10;5;3;854;1871
graph16;DOMOVERWDEG;10;5;3;335;524
graph16;ACTIVITY;10;5;3;238;420
graph16;INTVAR;10;5;3;855;1815
graph16;MAXCONS_RAND;10;5;3;6374;7859
graph17;DEFAULT;5;8;3;14;17
graph17;MINDOM;5;8;3;11;8
graph17;DOMOVERWDEG;5;8;3;8;10
graph17;ACTIVITY;5;8;3;16;18
graph17;INTVAR;5;8;3;7;9
graph17;MAXCONS_RAND;5;8;3;11;11
